"","variable","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"1","Total Population","2.39587428319846e-196","2.36387472189986e-191","3.22856032399453e-196","2.26268706622499e-206","1.67776442683805e-178","0.00031511091319815","0.256372190594031","2.25050977709675e-09"
"2","No vehicle","0.0426751945008005","0.420681357328473","0.425032364588454","0.190679244462385","0.221360814583724","0.428457761964969","0.149294411718843","1.37435504504049e-20"
"3","1 vehicle available","3.03058609014873e-07","4.27308114118156e-05","5.02886987932298e-05","1.30173366896438e-07","1.34485654195746e-07","0.34028784555371","0.0267533246001041","9.07245422895291e-09"
"4","2 vehicles available","7.38071061453697e-05","0.030164965571271","0.0290335519211352","0.00291468385774829","0.00495608047666558","0.285846994085546","0.0959001886394653","5.50706642198976e-17"
"5","3 or more vehicles available","1.66303375298879e-202","1.69660778895998e-81","3.41668653891082e-82","6.34610737465878e-127","5.38096967603482e-108","3.01875745247649e-05","0.280530104942512","0.573908838370264"
"6","Total Households","1.17084141695738e-199","5.03741439897979e-193","4.66546732848507e-198","8.7123341404618e-209","1.0271314524616e-181","0.000487670999117605","0.218584043688083","1.03392297949934e-09"
"7","Average Household Size","0.003751429154227","0.000224059213954988","0.000225606240457196","0.00480551470960739","0.0152895581884397","0.000431158476450435","0.342911902488904","0.707937621116777"
"8","Total Housing Units","2.74431009267494e-198","3.21706481008528e-192","3.84686948219647e-197","6.77074086612048e-208","3.42160156468206e-181","0.000389833617169274","0.218619047442619","1.71568432322591e-09"
"9","Total 1 unit detached","4.11499586245578e-112","3.58998791261369e-125","2.840762452586e-129","1.34162771451509e-110","3.01690054106137e-95","0.00058847878938711","0.279435453397577","4.49373451671674e-08"
"10","Total 1 unit attached","1.29962951401671e-91","7.04832486485792e-94","3.7171042208072e-99","7.35537293584299e-92","4.79444564677638e-82","0.000319555615638848","0.0439809490505085","2.50760182091935e-11"
"11","Total 2 units","0","6.27660701709535e-232","1.93219612473888e-229","0","0","0.0348041916935186","0.117311526775065","8.24766023195748e-09"
"12","Total 3 or 4 units","2.66990881088009e-287","8.28960158670913e-228","2.8871985690949e-230","0","7.83790156552631e-291","0.00165273720047856","0.135715399638574","5.47871358918315e-10"
"13","Total 5 to 9 units","2.57971695569838e-164","3.81783655239854e-167","3.07716411860219e-171","2.07438015096975e-170","2.63462482153708e-146","0.000190115198624745","0.291496427766196","4.2301310550304e-09"
"14","Total 10 to 19 units","5.35697252426906e-143","8.47760141999169e-151","1.46602157097259e-154","6.57718187959195e-143","1.49511043064966e-123","0.000109731697417102","0.476751841303693","6.25486241106556e-08"
"15","Total 20 or more units","0","1.47780490323261e-260","3.67030427520067e-260","0","0","0.00339269028951255","0.333364339147375","8.06038895308512e-08"
"16","Median Household Income","6.7113251556086e-12","3.03469104120965e-15","1.17250975535362e-15","7.71483231459141e-11","2.84204248053604e-10","1.01027038289925e-05","2.36283051206444e-11","2.86330961170433e-15"
"17","Total Population Foreign Born","5.26305118022652e-227","7.87007050919632e-202","5.11548586063497e-204","1.10950493186943e-251","3.794953479869e-214","0.000270428282040988","0.414743121116399","2.40922914740525e-07"
"18","Percent White","0.878672043768834","0.836987514692888","0.833522035961847","0.889643096282502","0.902398740517285","0.554579192906105","0.678738044012192","0.640107224083582"
"19","Percent Black","0.878669846908147","0.836985086627783","0.83351957904328","0.889640970091107","0.902396741452116","0.554578216921327","0.678737876735817","0.640106726287765"
"20","Percent AI/AN","0.878670405556782","0.836985731848422","0.833520236135595","0.889641508538116","0.90239725818379","0.554578517827246","0.678737862229077","0.640106738973238"
"21","Percent Asian","0.878669659278453","0.836984925008978","0.833519417423566","0.889640797353058","0.902396598816021","0.554578284890162","0.678737672400515","0.640106134017598"
"22","Percent NH/PI","0.878670349913369","0.836985659265439","0.83352016119158","0.88964145633313","0.902397212006435","0.554578461238583","0.678737808933586","0.640106639312254"
"23","Percent Some Other Race","0.878669833191734","0.836985111462705","0.833519612593038","0.889640930363165","0.902396728327177","0.554578196176733","0.6787377488257","0.640106523019033"
"24","Percent 2 or more Races","0.878670326294463","0.836985631544786","0.833520133118007","0.889641438566301","0.902397195626923","0.554578398506135","0.678737734035662","0.64010659496456"
"25","Percent Hispanic/Latino of any race","0.00841405236707124","0.000622943461017487","0.000553907887315802","0.00941987314655658","0.0319802827898088","0.00912465543689353","0.188665522487992","0.91100578113315"
"26","Workers Age 16 and Over","5.54639422454203e-196","8.09452048998689e-192","6.85115699456479e-197","1.36061049739503e-206","1.73651416684769e-179","0.000303429738953002","0.209589966210872","4.3431559988152e-10"
"27","Percent Car/Truck/Van Drove Alone","3.1943594561949e-47","1.6045875265953e-41","1.53790687534883e-41","1.2755143713974e-48","3.09634026337157e-47","0.0762757807683259","0.0811838475153749","1.19782322848928e-16"
"28","Percent Car/Truck/Van Carpooled","0.00108931658188293","0.00215090616940633","0.00155932594490445","0.000395215407522836","0.000434169445060501","0.624722956353901","0.480615917182731","0.143804610320454"
"29","Percent Public Transit","1.17638897888168e-169","3.61312590948557e-140","6.16681983019239e-141","5.50088669623705e-180","1.85866415749618e-174","0.00841415255276936","0.0397108410748015","1.10921721054133e-20"
"30","Percent Walked","8.89449875152817e-05","0.00220005796803373","0.00200975093934435","2.34539289051171e-05","1.64746776849368e-05","0.0152211549860569","0.418370337278608","1.16343001770171e-11"
"31","Percent Other Means","0.3161173252127","0.351263536948522","0.346888613216625","0.328541060404728","0.377821561413643","0.941411741667448","0.257457593610615","0.175509323226808"
"32","Percent Worked at Home","0.133725920765081","0.0213329664368232","0.0206837288905724","0.196026952984479","0.291410729659366","0.00113209025023284","0.00294868994259556","0.000243999639526367"
"33","Mean Travel Time to Work","1.43837268056115e-31","1.08911173984883e-37","1.5604960360886e-38","3.70035754045251e-30","1.61517077726316e-27","1.69331557784141e-09","2.16050218233151e-08","4.12337270478195e-08"
"34","Employment Total","1.21161365090603e-196","3.23040113947729e-192","2.86922748070061e-197","1.76053926464326e-207","3.43050287505684e-180","0.000297070716975597","0.210073991976713","4.39167462127094e-10"
"35","Percent Private Wage and Salary Workers","0.152173049795184","0.0433560443900476","0.0325929022899865","0.17192893142333","0.26182826775739","0.921699255581102","0.167348491607686","0.32986228380801"
"36","Percent Government Workers","0.130313925876573","0.0337923780568457","0.026403137413696","0.148275283634804","0.256573887981459","0.449469862574641","0.972548551230791","0.228144550558805"
"37","Percent Self-Employed","0.91599778449302","0.924048597035248","0.978729775080225","0.907776084030383","0.965137944133023","0.057513594578033","6.33999995250736e-05","0.661184119499308"
"38","Unemployment Rate","0.804060143874041","0.98341597918086","0.962779958052656","0.940270007690079","0.877187319466971","0.236573147234701","0.986632650013637","4.78086125439637e-10"
"39","Occupation - Management, business, science, and arts occupations","1.12847897558319e-06","1.97304776059128e-08","7.59268387802304e-09","5.48014862135736e-06","1.41174139026623e-05","0.454002182268372","0.00345417924942416","5.61294869843044e-19"
"40","Occupation - Service Occupations","0.557075265281436","0.226216351299087","0.22043695236437","0.759740764490608","0.79583842436493","0.915353666462068","0.029044761940421","0.0870675109981963"
"41","Occupation - Sales and Office","0.607009311622366","0.996221067090806","0.991275197698088","0.551708392704167","0.410713298203549","0.123175506791027","0.923923903939143","1.16246104689367e-05"
"42","Occupation - Natural Resources , Construction, Maintenance","0.000320008210651569","5.61090854713658e-05","2.77060006912175e-05","0.000578639328830855","0.0013805358657421","0.37654342644856","0.976560171560241","9.70649085511385e-06"
"43","Occupation - Production, transportation, and material moving occupations","0.000179301960349713","1.28152055068102e-05","7.78711053410129e-06","0.000404730559163478","0.000886057777592303","0.00843624460404343","0.00727922220049109","5.00493180081027e-09"
